5,1,6013,1202,6013,998.9299850324297,6013.0
11,1,3944,3271,3944,189.36460446247463,3944.0
10,1,4290,2925,4290,239.56969696969696,4290.0
8,1,4931,2284,4931,408.191847495437,4931.0
9,1,4606,2609,4606,310.68258792878856,4606.0
14,1,2972,4243,2972,101.79946164199193,2972.0
17,1,2003,5212,2003,65.25212181727409,2003.0
6,1,5615,1600,5615,735.959750667854,5615.0
7,1,5214,2001,5214,550.2259301879556,5214.0
22,1,1174,6041,1174,33.33390119250426,1174.0
21,1,1296,5919,1296,37.52469135802469,1296.0
12,1,3611,3604,3611,151.9113818886735,3611.0
15,1,2629,4586,2629,86.45720806390263,2629.0
16,1,2296,4919,2296,74.81184668989548,2296.0
19,1,1566,5649,1566,49.828863346104725,1566.0
18,1,1753,5462,1753,57.247005134055904,1753.0
25,1,859,6356,859,25.073341094295692,859.0
13,1,3299,3916,3299,122.99666565625947,3299.0
23,1,1056,6159,1056,30.19128787878788,1056.0
26,1,790,6425,790,22.756962025316454,790.0
24,1,960,6255,960,27.260416666666668,960.0
29,1,625,6590,625,17.2512,625.0
4,1,6353,862,6353,1386.9667873445617,6353.0
27,1,729,6486,729,20.655692729766805,729.0
28,1,667,6548,667,19.238380809595203,667.0
20,1,1425,5790,1425,43.06947368421053,1425.0
32,1,518,6697,518,13.069498069498069,518.0
31,1,550,6665,550,14.476363636363637,550.0
3,1,6619,596,6619,1971.7316815228887,6619.0
34,1,455,6760,455,10.953846153846154,455.0
30,1,587,6628,587,15.771720613287904,587.0
33,1,492,6723,492,11.886178861788618,492.0
35,1,414,6801,414,10.352657004830919,414.0
36,1,373,6842,373,9.812332439678285,373.0
2,1,6931,284,6931,2829.836675804357,6931.0
38,1,285,6930,285,9.235087719298246,285.0
37,1,326,6889,326,9.423312883435583,326.0
39,2,249,6966,247,9.02008032128514,124.5
40,2,222,6993,220,8.666666666666666,111.0
1,1,7215,0,7215,4238.441302841303,7215.0
47,2,134,7081,97,5.0,67.0
42,1,192,7023,192,7.354166666666667,192.0
45,2,153,7062,111,5.712418300653595,76.5
52,2,74,7141,57,4.513513513513513,37.0
41,1,206,7009,206,7.980582524271845,206.0
53,2,68,7147,52,4.294117647058823,34.0
48,2,126,7089,92,4.809523809523809,63.0
44,2,158,7057,115,6.265822784810126,79.0
49,3,111,7104,81,4.648648648648648,37.0
55,2,53,7162,41,4.150943396226415,26.5
54,2,58,7157,45,4.310344827586207,29.0
50,3,101,7114,72,4.554455445544554,33.666666666666664
64,3,25,7190,14,3.36,8.333333333333334
56,4,50,7165,20,3.88,12.5
46,2,142,7073,102,5.352112676056338,71.0
43,2,169,7046,124,7.159763313609467,84.5
63,3,25,7190,14,3.52,8.333333333333334
61,3,30,7185,17,3.8,10.0
57,5,47,7168,19,3.7872340425531914,9.4
51,2,88,7127,65,4.431818181818182,44.0
60,3,31,7184,17,3.935483870967742,10.333333333333334
59,4,37,7178,18,3.7837837837837838,9.25
65,3,24,7191,14,3.0833333333333335,8.0
58,4,39,7176,18,4.051282051282051,9.75
72,3,13,7202,5,1.6923076923076923,4.333333333333333
62,3,29,7186,17,3.586206896551724,9.666666666666666
67,3,20,7195,13,2.7,6.666666666666667
74,3,11,7204,5,1.6363636363636365,3.6666666666666665
66,3,22,7193,13,3.1818181818181817,7.333333333333333
68,3,18,7197,11,2.3333333333333335,6.0
71,3,14,7201,6,1.7142857142857142,4.666666666666667
73,3,11,7204,5,1.6363636363636365,3.6666666666666665
70,2,14,7201,9,2.0,7.0
69,2,15,7200,10,2.2666666666666666,7.5
75,3,9,7206,5,1.5555555555555556,3.0
76,3,9,7206,5,1.5555555555555556,3.0
77,3,9,7206,5,1.5555555555555556,3.0
78,2,6,7209,4,1.6666666666666667,3.0
79,2,6,7209,4,1.6666666666666667,3.0
80,1,4,7211,4,1.5,4.0
82,1,4,7211,4,1.5,4.0
81,1,4,7211,4,1.5,4.0
84,1,4,7211,4,1.5,4.0
95,1,4,7211,4,1.5,4.0
83,1,4,7211,4,1.5,4.0
87,1,4,7211,4,1.5,4.0
86,1,4,7211,4,1.5,4.0
85,1,4,7211,4,1.5,4.0
92,1,4,7211,4,1.5,4.0
90,1,4,7211,4,1.5,4.0
103,1,4,7211,4,1.5,4.0
96,1,4,7211,4,1.5,4.0
88,1,4,7211,4,1.5,4.0
99,1,4,7211,4,1.5,4.0
89,1,4,7211,4,1.5,4.0
112,1,4,7211,4,1.5,4.0
98,1,4,7211,4,1.5,4.0
101,1,4,7211,4,1.5,4.0
94,1,4,7211,4,1.5,4.0
106,1,4,7211,4,1.5,4.0
91,1,4,7211,4,1.5,4.0
100,1,4,7211,4,1.5,4.0
110,1,4,7211,4,1.5,4.0
109,1,4,7211,4,1.5,4.0
97,1,4,7211,4,1.5,4.0
105,1,4,7211,4,1.5,4.0
107,1,4,7211,4,1.5,4.0
113,1,4,7211,4,1.5,4.0
108,1,4,7211,4,1.5,4.0
115,1,4,7211,4,1.5,4.0
104,1,4,7211,4,1.5,4.0
102,1,4,7211,4,1.5,4.0
114,1,4,7211,4,1.5,4.0
119,1,3,7212,3,1.3333333333333333,3.0
117,1,4,7211,4,1.5,4.0
120,1,3,7212,3,1.3333333333333333,3.0
121,1,3,7212,3,1.3333333333333333,3.0
122,1,2,7213,2,1.0,2.0
123,1,2,7213,2,1.0,2.0
125,1,2,7213,2,1.0,2.0
